Timestamp,Peak
2022-09-13 11:10:10.803,-78.08
2022-09-13 11:10:11.305,-77.74
2022-09-13 11:10:11.805,-77.77
2022-09-13 11:10:12.307,-77.78
2022-09-13 11:10:12.808,-77.59
2022-09-13 11:10:13.309,-77.75
2022-09-13 11:10:13.809,-78.1
2022-09-13 11:10:14.311,-77.99
2022-09-13 11:10:14.811,-77.9
2022-09-13 11:10:15.312,-77.81
2022-09-13 11:10:15.813,-77.34
2022-09-13 11:10:16.314,-77.89
2022-09-13 11:10:16.814,-77.79
2022-09-13 11:10:17.314,-77.87
2022-09-13 11:10:17.815,-77.67
2022-09-13 11:10:18.315,-77.76
2022-09-13 11:10:18.816,-77.13
2022-09-13 11:10:19.317,-77.72
2022-09-13 11:10:19.817,-77.82
2022-09-13 11:10:20.317,-77.93
2022-09-13 11:10:20.817,-77.85
2022-09-13 11:10:21.318,-77.74
2022-09-13 11:10:21.819,-77.53
2022-09-13 11:10:22.319,-77.52
2022-09-13 11:10:22.820,-77.84
2022-09-13 11:10:23.320,-77.69
2022-09-13 11:10:23.820,-77.21
2022-09-13 11:10:24.321,-77.93
2022-09-13 11:10:24.822,-78.05
2022-09-13 11:10:25.323,-77.82
2022-09-13 11:10:25.823,-77.84
2022-09-13 11:10:26.324,-77.68
2022-09-13 11:10:26.825,-77.9
2022-09-13 11:10:27.326,-78.01
2022-09-13 11:10:27.826,-77.98
2022-09-13 11:10:28.326,-77.28
2022-09-13 11:10:28.827,-77.91
2022-09-13 11:10:29.327,-77.5
2022-09-13 11:10:29.828,-77.85
2022-09-13 11:10:30.328,-78.03
2022-09-13 11:10:30.829,-77.23
2022-09-13 11:10:31.329,-77.76
2022-09-13 11:10:31.830,-77.82
2022-09-13 11:10:32.330,-77.74
2022-09-13 11:10:32.831,-77.86
2022-09-13 11:10:33.331,-77.76
2022-09-13 11:10:33.832,-77.87
2022-09-13 11:10:34.332,-78.26
2022-09-13 11:10:34.833,-77.92
2022-09-13 11:10:35.333,-77.83
2022-09-13 11:10:35.834,-77.93
2022-09-13 11:10:36.334,-77.71
2022-09-13 11:10:36.834,-77.44
2022-09-13 11:10:37.335,-77.81
2022-09-13 11:10:37.836,-78.01
2022-09-13 11:10:38.336,-77.89
2022-09-13 11:10:38.837,-77.66
2022-09-13 11:10:39.338,-77.64
2022-09-13 11:10:39.839,-77.52
2022-09-13 11:10:40.340,-77.6
2022-09-13 11:10:40.841,-77.87
2022-09-13 11:10:41.342,-77.65
2022-09-13 11:10:41.843,-77.83
2022-09-13 11:10:42.343,-77.37
2022-09-13 11:10:42.845,-78.02
2022-09-13 11:10:43.346,-78.1
2022-09-13 11:10:43.847,-77.66
2022-09-13 11:10:44.347,-77.62
2022-09-13 11:10:44.848,-77.74
2022-09-13 11:10:45.349,-77.88
2022-09-13 11:10:45.850,-77.97
2022-09-13 11:10:46.351,-78.02
2022-09-13 11:10:46.852,-77.86
2022-09-13 11:10:47.352,-77.92
2022-09-13 11:10:47.854,-77.53
2022-09-13 11:10:48.355,-77.97
2022-09-13 11:10:48.855,-78.01
2022-09-13 11:10:49.356,-77.72
2022-09-13 11:10:49.857,-77.71
2022-09-13 11:10:50.351,-77.84
2022-09-13 11:10:50.850,-77.85
2022-09-13 11:10:51.352,-77.81
2022-09-13 11:10:51.853,-77.96
2022-09-13 11:10:52.355,-77.91
2022-09-13 11:10:52.855,-77.83
2022-09-13 11:10:53.357,-77.87
2022-09-13 11:10:53.857,-77.49
2022-09-13 11:10:54.359,-77.68
2022-09-13 11:10:54.860,-77.42
2022-09-13 11:10:55.361,-78.03
2022-09-13 11:10:55.862,-77.93
2022-09-13 11:10:56.364,-77.84
2022-09-13 11:10:56.864,-77.54
2022-09-13 11:10:57.366,-77.49
2022-09-13 11:10:57.866,-77.73
2022-09-13 11:10:58.368,-78.02
2022-09-13 11:10:58.868,-77.52
2022-09-13 11:10:59.370,-77.4
2022-09-13 11:10:59.870,-77.74
2022-09-13 11:11:00.371,-78.15
2022-09-13 11:11:00.872,-77.67
2022-09-13 11:11:01.373,-77.57
2022-09-13 11:11:01.873,-78.09
2022-09-13 11:11:02.374,-77.65
2022-09-13 11:11:02.874,-77.9
