Timestamp,Frequency,Peak mean,Peak max
2022-09-23 09:12:46.180705,160400000,-77.3,-68.53
2022-09-23 09:12:46.681295,160400000,-76.77,-70.27
2022-09-23 09:12:47.181813,160400000,-77.19,-69.99
2022-09-23 09:12:47.682765,160400000,-76.95,-69.78
2022-09-23 09:12:48.182883,160400000,-77.49,-69.71
2022-09-23 09:12:48.683126,160400000,-76.99,-69.25
2022-09-23 09:12:49.183681,160400000,-77.2,-69.62
2022-09-23 09:12:49.684295,160400000,-77.36,-68.75
2022-09-23 09:12:50.185087,160400000,-77.4,-69.61
2022-09-23 09:12:50.685826,160400000,-76.47,-71.07
2022-09-23 09:12:51.186176,160400000,-76.59,-70.62
2022-09-23 09:12:51.686469,160400000,-77.24,-70.03
2022-09-23 09:12:52.187649,160400000,-77.61,-67.91
2022-09-23 09:12:52.688020,160400000,-77.28,-68.92
2022-09-23 09:12:53.188394,160400000,-76.76,-69.48
2022-09-23 09:12:53.689187,160400000,-75.98,-68.33
2022-09-23 09:12:54.190010,160400000,-76.3,-66.3
2022-09-23 09:12:54.690978,160400000,-76.17,-67.34
2022-09-23 09:12:55.191033,160400000,-75.94,-67.21
2022-09-23 09:12:55.691703,160400000,-75.48,-67.68
2022-09-23 09:12:56.192127,160400000,-75.77,-67.48
2022-09-23 09:12:56.692131,160400000,-76.69,-68.85
2022-09-23 09:12:57.193835,160400000,-77.7,-69.7
2022-09-23 09:12:57.694848,160400000,-77.35,-68.76
2022-09-23 09:12:58.196148,160400000,-75.62,-67.32
2022-09-23 09:12:58.697258,160400000,-74.5,-66.33
2022-09-23 09:12:59.197878,160400000,-75.71,-67.98
2022-09-23 09:12:59.699344,160400000,-77.29,-68.69
2022-09-23 09:13:00.200127,160400000,-76.78,-68.41
2022-09-23 09:13:00.700466,160400000,-75.55,-66.31
2022-09-23 09:13:01.202034,160400000,-75.91,-66.79
2022-09-23 09:13:01.723854,160400000,-75.18,-67.22
2022-09-23 09:13:02.202304,160400000,-74.81,-66.84
2022-09-23 09:13:05.949931,160400000,-75.58,-67.46
2022-09-23 09:13:06.449158,160400000,-74.69,-67.75
2022-09-23 09:13:06.949760,160400000,-75.53,-66.52
2022-09-23 09:13:07.451106,160400000,-74.41,-67.16
2022-09-23 09:13:13.719334,160400000,-75.64,-68.0
2022-09-23 09:13:14.219369,160400000,-74.95,-67.38
2022-09-23 09:13:14.719754,160400000,-76.08,-67.16
2022-09-23 09:13:15.220174,160400000,-74.65,-66.41
2022-09-23 09:13:15.720558,160400000,-75.92,-67.91
2022-09-23 09:13:16.937880,160400000,-75.65,-67.3
2022-09-23 09:13:17.438882,160400000,-75.34,-67.71
2022-09-23 09:13:17.938934,160400000,-75.23,-67.1
2022-09-23 09:13:18.440616,160400000,-75.58,-67.9
2022-09-23 09:13:18.940026,160400000,-75.45,-67.16
2022-09-23 09:13:19.440733,160400000,-76.23,-67.83
2022-09-23 09:13:19.941117,160400000,-75.11,-67.83
2022-09-23 09:13:20.441481,160400000,-75.29,-67.57
2022-09-23 09:13:20.941877,160400000,-74.23,-67.87
2022-09-23 09:13:21.442601,160400000,-74.67,-66.03
2022-09-23 09:13:21.942683,160400000,-75.27,-67.97
2022-09-23 09:13:22.443395,160400000,-76.18,-67.13
2022-09-23 09:13:22.944063,160400000,-74.42,-66.54
2022-09-23 09:13:23.444836,160400000,-75.37,-68.43
2022-09-23 09:13:23.944847,160400000,-74.68,-66.42
2022-09-23 09:13:24.445615,160400000,-76.1,-67.36
2022-09-23 09:13:24.945639,160400000,-75.17,-67.24
2022-09-23 09:13:25.446820,160400000,-76.27,-67.84
2022-09-23 09:13:25.946920,160400000,-74.22,-67.51
2022-09-23 09:13:26.447577,160400000,-75.24,-67.68
2022-09-23 09:13:26.947728,160400000,-74.81,-66.32
2022-09-23 09:13:27.448662,160400000,-75.06,-66.38
2022-09-23 09:13:27.949612,160400000,-75.76,-66.53
2022-09-23 09:13:28.450623,160400000,-75.58,-66.43
2022-09-23 09:13:28.951370,160400000,-75.07,-66.72
2022-09-23 09:13:29.452372,160400000,-75.13,-68.14
2022-09-23 09:13:29.953096,160400000,-75.9,-67.26
2022-09-23 09:13:30.454444,160400000,-76.22,-67.82
2022-09-23 09:13:30.954819,160400000,-75.68,-66.85
2022-09-23 09:13:31.455919,160400000,-75.38,-66.27
2022-09-23 09:13:31.956628,160400000,-75.65,-67.98
2022-09-23 09:13:32.457974,160400000,-76.53,-67.97
2022-09-23 09:13:32.958626,160400000,-75.04,-67.59
2022-09-23 09:13:33.459962,160400000,-75.03,-67.06
2022-09-23 09:13:33.960370,160400000,-75.27,-67.66
2022-09-23 09:13:34.461368,160400000,-75.68,-67.04
2022-09-23 09:13:34.962075,160400000,-74.6,-66.81
2022-09-23 09:13:35.463388,160400000,-76.04,-67.34
2022-09-23 09:13:35.964107,160400000,-75.16,-66.57
2022-09-23 09:13:36.465142,160400000,-75.83,-65.36
2022-09-23 09:13:36.965530,160400000,-74.95,-68.03
2022-09-23 09:13:37.469523,160400000,-75.3,-67.63
2022-09-23 09:13:37.967034,160400000,-76.12,-67.21
2022-09-23 09:13:38.468132,160400000,-76.14,-67.73
2022-09-23 09:13:38.968184,160400000,-75.56,-67.88
2022-09-23 09:13:39.468905,160400000,-76.36,-67.14
2022-09-23 09:13:39.969231,160400000,-75.48,-68.06
2022-09-23 09:13:40.469929,160400000,-76.22,-68.06
2022-09-23 09:13:40.971168,160400000,-75.39,-68.2
2022-09-23 09:13:41.470676,160400000,-75.79,-68.89
2022-09-23 09:13:41.971068,160400000,-76.16,-67.14
2022-09-23 09:13:42.471772,160400000,-76.06,-68.77
2022-09-23 09:13:42.972206,160400000,-75.86,-68.71
2022-09-23 09:13:43.473204,160400000,-75.93,-67.31
2022-09-23 09:13:43.973317,160400000,-76.1,-66.35
2022-09-23 09:13:44.474594,160400000,-75.95,-68.05
2022-09-23 09:13:44.974395,160400000,-76.25,-68.29
2022-09-23 09:13:45.475090,160400000,-75.8,-67.08
2022-09-23 09:13:45.975444,160400000,-76.19,-68.44
2022-09-23 09:13:46.476942,160400000,-75.31,-67.69
2022-09-23 09:13:46.976642,160400000,-75.8,-68.15
2022-09-23 09:13:47.478383,160400000,-75.49,-66.75
2022-09-23 09:13:47.978101,160400000,-76.22,-67.77
2022-09-23 09:13:48.478828,160400000,-76.05,-68.49
2022-09-23 09:13:48.979530,160400000,-76.2,-67.25
2022-09-23 09:13:49.480344,160400000,-75.97,-68.62
2022-09-23 09:13:49.981064,160400000,-75.85,-68.46
2022-09-23 09:13:50.481936,160400000,-76.48,-67.84
2022-09-23 09:13:50.982609,160400000,-75.61,-67.77
2022-09-23 09:13:51.483773,160400000,-76.24,-68.28
2022-09-23 09:13:51.984037,160400000,-75.67,-66.76
2022-09-23 09:13:52.484913,160400000,-76.33,-68.55
2022-09-23 09:13:52.985501,160400000,-74.49,-67.47
2022-09-23 09:13:53.486339,160400000,-75.76,-67.87
2022-09-23 09:13:53.987245,160400000,-74.77,-67.15
2022-09-23 09:13:54.487714,160400000,-76.06,-67.95
2022-09-23 09:13:54.988204,160400000,-75.54,-68.2
2022-09-23 09:13:55.488999,160400000,-76.11,-67.04
2022-09-23 09:13:55.989442,160400000,-76.15,-67.03
2022-09-23 09:13:56.490458,160400000,-76.32,-67.96
2022-09-23 09:13:56.991199,160400000,-74.89,-67.01
2022-09-23 09:13:57.492662,160400000,-76.25,-68.22
2022-09-23 09:13:57.992300,160400000,-75.58,-67.49
2022-09-23 09:13:58.493134,160400000,-76.07,-66.83
2022-09-23 09:13:58.993442,160400000,-75.65,-67.1
2022-09-23 09:13:59.494810,160400000,-75.66,-68.15
2022-09-23 09:13:59.994831,160400000,-75.63,-67.5
2022-09-23 09:14:00.495571,160400000,-75.1,-66.71
2022-09-23 09:14:00.995926,160400000,-75.49,-66.6
2022-09-23 09:14:01.496672,160400000,-75.51,-68.14
2022-09-23 09:14:01.997272,160400000,-75.65,-67.53
2022-09-23 09:14:02.497944,160400000,-75.97,-67.88
2022-09-23 09:14:02.998290,160400000,-76.06,-66.52
2022-09-23 09:14:03.498833,160400000,-75.83,-68.1
2022-09-23 09:14:03.999223,160400000,-76.02,-68.08
2022-09-23 09:14:04.500338,160400000,-76.36,-67.23
2022-09-23 09:14:05.000372,160400000,-75.35,-67.6
2022-09-23 09:14:05.500934,160400000,-76.04,-68.18
2022-09-23 09:14:06.001575,160400000,-75.81,-67.61
2022-09-23 09:14:06.504269,160400000,-76.02,-67.43
2022-09-23 09:14:07.002673,160400000,-75.79,-66.89
2022-09-23 09:14:07.503231,160400000,-76.06,-68.69
2022-09-23 09:14:08.003513,160400000,-75.58,-67.12
2022-09-23 09:14:08.504441,160400000,-76.07,-67.85
2022-09-23 09:14:09.004651,160400000,-74.56,-66.59
2022-09-23 09:14:09.505527,160400000,-75.94,-67.73
2022-09-23 09:14:10.006434,160400000,-75.38,-67.44
2022-09-23 09:14:10.507004,160400000,-76.19,-66.95
2022-09-23 09:14:11.007544,160400000,-75.72,-68.06
2022-09-23 09:14:11.508092,160400000,-76.37,-68.05
2022-09-23 09:14:12.008577,160400000,-75.22,-67.39
2022-09-23 09:14:12.509706,160400000,-76.04,-68.83
2022-09-23 09:14:13.009588,160400000,-75.35,-67.14
2022-09-23 09:14:13.510424,160400000,-75.53,-67.56
2022-09-23 09:14:14.010666,160400000,-76.28,-67.22
2022-09-23 09:14:14.511759,160400000,-75.88,-67.69
2022-09-23 09:14:15.012274,160400000,-75.89,-67.33
2022-09-23 09:14:15.512717,160400000,-75.76,-65.53
2022-09-23 09:14:16.012927,160400000,-75.48,-66.96
2022-09-23 09:14:16.513762,160400000,-75.15,-68.23
2022-09-23 09:14:17.014251,160400000,-75.46,-68.11
2022-09-23 09:14:17.515385,160400000,-23.05,-9.55
2022-09-23 09:14:18.015177,160400000,-15.19,-5.02
2022-09-23 09:14:18.516133,160400000,-17.21,-6.57
2022-09-23 09:14:19.016572,160400000,-76.91,-70.41
2022-09-23 09:14:19.517381,160400000,-77.55,-69.41
2022-09-23 09:14:20.018445,160400000,-77.03,-67.2
2022-09-23 09:14:20.518985,160400000,-75.94,-68.15
2022-09-23 09:14:21.018835,160400000,-75.31,-67.55
2022-09-23 09:14:21.519536,160400000,-76.74,-68.42
2022-09-23 09:14:22.020058,160400000,-74.71,-67.83
2022-09-23 09:14:22.520805,160400000,-75.52,-68.39
2022-09-23 09:14:23.021269,160400000,-75.19,-67.18
2022-09-23 09:14:23.521739,160400000,-75.86,-67.96
2022-09-23 09:14:24.022219,160400000,-75.25,-67.02
2022-09-23 09:14:24.522919,160400000,-75.79,-68.34
2022-09-23 09:14:25.023078,160400000,-75.61,-67.25
2022-09-23 09:14:25.524214,160400000,-76.2,-66.44
2022-09-23 09:14:26.024231,160400000,-75.08,-67.65
2022-09-23 09:14:26.524742,160400000,-75.81,-66.53
2022-09-23 09:14:27.025136,160400000,-75.18,-66.22
2022-09-23 09:14:27.525967,160400000,-75.36,-68.5
2022-09-23 09:14:28.026398,160400000,-75.85,-67.32
2022-09-23 09:14:28.527832,160400000,-74.72,-66.35
2022-09-23 09:14:29.028955,160400000,-75.67,-67.85
2022-09-23 09:14:29.528093,160400000,-75.15,-67.71
2022-09-23 09:14:30.028208,160400000,-75.92,-66.96
2022-09-23 09:14:30.531383,160400000,-75.17,-67.2
2022-09-23 09:14:31.029365,160400000,-75.22,-68.33
2022-09-23 09:14:31.530064,160400000,-74.77,-67.39
2022-09-23 09:14:32.030184,160400000,-74.94,-67.51
2022-09-23 09:14:32.530948,160400000,-75.24,-67.65
2022-09-23 09:14:33.031343,160400000,-74.59,-67.62
2022-09-23 09:14:33.532099,160400000,-76.37,-67.91
2022-09-23 09:14:34.032217,160400000,-74.9,-66.97
2022-09-23 09:14:34.532661,160400000,-75.79,-66.37
2022-09-23 09:14:35.035280,160400000,-75.78,-67.52
2022-09-23 09:14:35.533786,160400000,-74.66,-68.47
2022-09-23 09:14:36.034486,160400000,-75.31,-67.64
2022-09-23 09:14:36.535714,160400000,-76.23,-68.01
2022-09-23 09:14:37.036116,160400000,-75.83,-65.39
2022-09-23 09:14:37.536664,160400000,-75.62,-66.71
2022-09-23 09:14:38.037850,160400000,-75.94,-67.51
2022-09-23 09:14:38.538595,160400000,-75.12,-67.77
2022-09-23 09:14:39.039286,160400000,-75.15,-67.22
2022-09-23 09:14:39.539681,160400000,-75.71,-65.01
2022-09-23 09:14:40.040387,160400000,-75.98,-67.59
2022-09-23 09:14:40.540516,160400000,-75.0,-67.32
2022-09-23 09:14:41.041543,160400000,-75.58,-68.39
2022-09-23 09:14:41.541705,160400000,-75.49,-68.96
2022-09-23 09:14:42.042340,160400000,-75.17,-67.14
2022-09-23 09:14:42.542510,160400000,-75.01,-67.72
2022-09-23 09:14:43.043200,160400000,-75.51,-67.44
